relation,tail,filteredTripleCount,tripleCount,representation
http://bias.org/vocab/common/topic/webpage./common/webpage/category,http://bias.org/entity/m/08mbj5d,3612,3612,1.0
http://bias.org/vocab/people/person/gender,http://bias.org/entity/m/05zppz,2914,3717,0.7839656
http://bias.org/vocab/people/person/spouse_s./people/marriage/type_of_union,http://bias.org/entity/m/04ztj,2586,2909,0.8889653
http://bias.org/vocab/people/person/nationality,http://bias.org/entity/m/09c7w0,2509,4197,0.59780794
http://bias.org/vocab/film/film/language,http://bias.org/entity/m/02h40lc,1477,2570,0.57470816
http://bias.org/vocab/film/film/country,http://bias.org/entity/m/09c7w0,1317,2407,0.5471541
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,http://bias.org/entity/m/029j_,1311,1429,0.9174248
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,1164,1210,0.96198344
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,http://bias.org/entity/m/0jbk9,788,788,1.0
http://bias.org/vocab/people/person/languages,http://bias.org/entity/m/02h40lc,501,783,0.63984674
http://bias.org/vocab/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,457,475,0.9621053
http://bias.org/vocab/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,http://bias.org/entity/m/04n6k,411,411,1.0
http://bias.org/vocab/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,373,373,1.0
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,353,476,0.74159664
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,339,456,0.7434211
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,302,360,0.8388889
http://bias.org/vocab/sports/sports_team/sport,http://bias.org/entity/m/02vx4,270,423,0.63829786
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,http://bias.org/entity/m/0ckd1,225,225,1.0
http://bias.org/vocab/tv/tv_program/languages,http://bias.org/entity/m/02h40lc,218,254,0.8582677
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,215,220,0.97727275
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,213,215,0.9906977
http://bias.org/vocab/tv/tv_program/country_of_origin,http://bias.org/entity/m/09c7w0,203,268,0.7574627
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,197,198,0.9949495
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,180,181,0.9944751
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/country,http://bias.org/entity/m/09c7w0,177,182,0.97252744
http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,172,190,0.9052632
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,http://bias.org/entity/m/09nqf,160,160,1.0
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_area_type,http://bias.org/entity/m/0hzc9wc,156,156,1.0
http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/09nqf,149,149,1.0
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,http://bias.org/entity/m/02h40lc,130,208,0.625
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/region,http://bias.org/entity/m/07ssc,127,157,0.8089172
http://bias.org/vocab/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,http://bias.org/entity/m/03z19,125,125,1.0
http://bias.org/vocab/film/actor/film./film/performance/special_performance_type,http://bias.org/entity/m/01pb34,122,180,0.67777777
http://bias.org/vocab/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,http://bias.org/entity/m/0ckd1,121,121,1.0
http://bias.org/vocab/base/eating/practicer_of_diet/diet,http://bias.org/entity/m/07_jd,109,137,0.79562044
http://bias.org/vocab/film/actor/dubbing_performances./film/dubbing_performance/language,http://bias.org/entity/m/02h40lc,109,112,0.97321427
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,http://bias.org/entity/m/03w5xm,90,142,0.63380283
http://bias.org/vocab/award/award_category/category_of,http://bias.org/entity/m/0c4ys,79,148,0.5337838
http://bias.org/vocab/education/university/international_tuition./measurement_unit/dated_money_value/currency,http://bias.org/entity/m/01nv4h,65,117,0.5555556
http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,http://bias.org/entity/m/01jdpf,37,37,1.0
